album_artist,album,track_artist,track,isrc,upc,release_date,provider,sello,,
Sossa|DJ TRA RKT,CON UNA CUBANA RKT,Sossa|DJ TRA RKT,CON UNA CUBANA RKT,US6R22553422,199806720486.0,2025-12-13 00:00:00,orchard,,,
Tomi Rmx,QUE LA NOTA TE SUBA,Tomi Rmx,QUE LA NOTA TE SUBA,US6R22583327,199806829967.0,2025-12-26 00:00:00,orchard,,,
Eze Remix featuring sheafiell,ENRola UN BaTe VIP,Eze Remix featuring sheafiell,ENRola UN BaTe VIP,US6R22595517,199806856635.0,2025-12-30 00:00:00,orchard,,,
Eze Remix,cOmO mUevE,Eze Remix,cOmO mUevE,US6R22595524,199806864661.0,2025-12-30 00:00:00,orchard,,,
Eze Remix,DaDDYrKt,Eze Remix,DaDDYrKt,US6R22595526,199806833322.0,2025-12-30 00:00:00,orchard,,,
"Eze Greco, Tomi Rmx, Ventu",Amanece RKT,"Eze Greco, Tomi Rmx, Ventu",Amanece RKT,QM4TW2614789,199806903124.0,2026-01-09 00:00:00,orchard,,,
Titan 13|Tomi Rmx|Juanma Girat,TITAN 13 - Caserio session #1,Titan 13|Tomi Rmx|Juanma Girat,TITAN 13 - Caserio session #1,QM4TW2628257,199806947036.0,2026-01-14 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,INTRO AY VAMOS RKT,DJSNOWS|Nacho Pereira,INTRO AY VAMOS RKT,QM4TW2630668,199806967171.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,PASO SOLITA X RELACION RKT,DJSNOWS|Nacho Pereira,PASO SOLITA X RELACION RKT,QM4TW2630608,199806966884.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,TU TA DEMASIADO LOCA RKT,DJSNOWS|Nacho Pereira,TU TA DEMASIADO LOCA RKT,QM4TW2630601,199806967447.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira|Adri Fuentes,PIDE LO QUE TU QUIERAS X TIKI TIKI RKT,DJSNOWS|Nacho Pereira|Adri Fuentes,PIDE LO QUE TU QUIERAS X TIKI TIKI RKT,QM4TW2630591,199806985304.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,BESOS MOJADOS RKT,DJSNOWS|Nacho Pereira,BESOS MOJADOS RKT,QM4TW2628287,199806947371.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|sheafiell|Nacho Pereira,INTRO TU JARDÍN CON ENANITOS RKT,DJSNOWS|sheafiell|Nacho Pereira,INTRO TU JARDÍN CON ENANITOS RKT,QM4TW2628286,199806947562.0,2026-01-15 00:00:00,orchard,,,
DJSNOWS|TOTI|Nacho Pereira,LA LLEVO PA EL ESPACIO RKT,DJSNOWS|TOTI|Nacho Pereira,LA LLEVO PA EL ESPACIO RKT,QM4TW2630567,199806974391.0,2026-01-15 00:00:00,orchard,,,
Tibbass,SACATE LA ROPAXX RKT,Tibbass,SACATE LA ROPAXX RKT,QM4TW2635732,199806983584.0,2026-01-15 00:00:00,orchard,,,
Matías Mareco|JOEL RMX|EIRON RMX,CHAMAQUITA VEN,Matías Mareco|JOEL RMX|EIRON RMX,CHAMAQUITA VEN,QM4TW2658292,820200037565.0,2026-01-17 00:00:00,orchard,,,
Matías Mareco|JOEL RMX|EIRON RMX,TREMENDA SATA,Matías Mareco|JOEL RMX|EIRON RMX,TREMENDA SATA,QM4TW2658290,820200055316.0,2026-01-17 00:00:00,orchard,,,
Tibbass|BRIIAN DJ,DE DIA Y DE NOCHE RKT,Tibbass|BRIIAN DJ,DE DIA Y DE NOCHE RKT,QM4TW2662442,820200082268.0,2026-01-22 00:00:00,orchard,,,
Tomi Rmx|Bruno Chavez Dj|NAHU IN THE MIX,TE LO DOY RKT,Tomi Rmx|Bruno Chavez Dj|NAHU IN THE MIX,TE LO DOY RKT,QM4TW2669527,820200077585.0,2026-01-16 00:00:00,orchard,,,
Sossa|Ventu,POR ATRAS,Sossa|Ventu,POR ATRAS,QM4TW2684704,820200176370.0,2026-01-29 00:00:00,orchard,,,
Tibbass|UZI RMX|Sketchy RMX,Esta Noche Rksxx,Tibbass|UZI RMX|Sketchy RMX,Esta Noche Rksxx,QM4TW2684738,820200103451.0,2026-01-30 00:00:00,orchard,,,
"TOTI, Falcone, Benja Garcia",GASOLINA,"TOTI, Falcone, Benja Garcia",GASOLINA,,820200264862.0,2026-01-05 00:00:00,orchard,,,
"TOTI, LuisinhoDJ, Falcone, Benja Garcia",MORENA JOGANDO,"TOTI, LuisinhoDJ, Falcone, Benja Garcia",MORENA JOGANDO,,820200264435.0,2026-01-05 00:00:00,orchard,,,
"MemeDj, Benja Garcia",FUNK: BATA BATA,"MemeDj, Benja Garcia",FUNK: BATA BATA,QM4TX2616730,820200202420.0,2026-01-05 00:00:00,orchard,,,
"Falcone, Benja Garcia",HEY MAMA FUNK,"Falcone, Benja Garcia",HEY MAMA FUNK,,820200171078.0,2026-01-05 00:00:00,orchard,,,
TOTI|Facu Infante Ar,LA DEL CONTROL FUNK,TOTI|Facu Infante Ar,LA DEL CONTROL FUNK,,820200159755.0,2026-01-05 00:00:00,orchard,,,
TOTI|sheafiell|Falcone,FUNK: ANTES QUE SALGA EL SOL,TOTI|sheafiell|Falcone,FUNK: ANTES QUE SALGA EL SOL,QM4TX2613931,820200192899.0,2026-01-05 00:00:00,orchard,,,
TOTI|Falcone|Benja Garcia,LEAN ON FUNK,TOTI|Falcone|Benja Garcia,LEAN ON FUNK,QM4TX2613905,820200177049.0,2026-01-05 00:00:00,orchard,,,
TOTI|Tomi Rmx,MOVEMENTO BR,TOTI|Tomi Rmx,MOVEMENTO BR,QM4TX2613398,820200226211.0,2026-01-05 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,NO PARE RKT,DJSNOWS|Nacho Pereira,NO PARE RKT,QM4TX2631268,820200283702.0,2026-02-05 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,MÉTELO SÁCALO RKT,DJSNOWS|Nacho Pereira,MÉTELO SÁCALO RKT,QM4TX2631277,820200222237.0,2026-02-05 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,ELLA FUMA RKT,DJSNOWS|Nacho Pereira,ELLA FUMA RKT,QM4TX2631282,820200248749.0,2026-02-09 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira|DJ Adri Fuentes,PIERDO LA CABEZA RKT,DJSNOWS|Nacho Pereira|DJ Adri Fuentes,PIERDO LA CABEZA RKT,QM4TX2632416,820200279910.0,2026-02-09 00:00:00,orchard,,,
Matias Mareco|JOEL RMX,Amor de Colegio,Matias Mareco|JOEL RMX,Amor de Colegio,QM6MZ2672868,820200753687.0,2026-03-15 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ,Ping Pong,QM6MZ2684024,820200722966.0,2026-03-18 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ|sheafiell|Ventu,Me le pego,QM6MZ2684025,820200722966.0,2026-03-18 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ|sheafiell|Ibanxo,Aprovecha,QM6MZ2684026,820200722966.0,2026-03-18 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ|DJ Feed,Que no se acabe el perreo,QM6MZ2684027,820200722966.0,2026-03-18 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ,Bailoteo,QM6MZ2684028,820200722966.0,2026-03-18 00:00:00,orchard,,,
G-nabrÿ,Gotham,G-nabrÿ|Nubrio,Ginza,QM6MZ2684029,820200722966.0,2026-03-18 00:00:00,orchard,,,
Mambo DJ featuring Tomi Rmx,ESCUELITA PA QUE APRENDAN,Mambo DJ featuring Tomi Rmx,ESCUELITA PA QUE APRENDAN,QM6N22601297,820200871633.0,2026-03-24 00:00:00,orchard,,,
FACUU DJ|More Savan,Las Muñequitas RKT,FACUU DJ|More Savan,Las Muñequitas RKT,QM6N22623284,820200862242.0,2026-03-31 00:00:00,orchard,,,
TOTI|Befo|Falcone,Filho Do Funk,TOTI|Befo|Falcone,Filho Do Funk,QM6N22631264,820200949325.0,2026-04-02 00:00:00,orchard,,,
Matias Mareco|Ventu|EIRON RMX|JOEL RMX,Para Que Lo Bailen De Verdad,Matias Mareco|Ventu|EIRON RMX|JOEL RMX,EGOISTA RKT,QM6P42619024,820233134316.0,2026-04-17 00:00:00,orchard,,,
Matias Mareco|Ventu|EIRON RMX|JOEL RMX,Para Que Lo Bailen De Verdad,Matias Mareco|Ventu|EIRON RMX|JOEL RMX,LA PREGUNTA RKT,QM6P42619025,820233134316.0,2026-04-17 00:00:00,orchard,,,
Matias Mareco|Ventu|EIRON RMX|JOEL RMX,Para Que Lo Bailen De Verdad,Matias Mareco|Ventu|EIRON RMX|JOEL RMX,SI TU CUERPO ME PIDE RKT,QM6P42619026,820233134316.0,2026-04-17 00:00:00,orchard,,,
DJ Lazerk Rmx,OLHA EXPLOSAO RKT,DJ Lazerk Rmx,OLHA EXPLOSAO RKT,QM6P42642608,820233138970.0,2026-04-23 00:00:00,orchard,,,
Tibbass|Gio Deejay,ORNAH,Tibbass|Gio Deejay,ORNAH,QM6P42643306,820233141680.0,2026-04-25 00:00:00,orchard,,,
LAALODJ|ELAM MXI|Simo Viani,PROBLEMON REMIX,LAALODJ|ELAM MXI|Simo Viani,PROBLEMON REMIX,QM6P42649228,820233141253.0,2026-04-24 00:00:00,orchard,,,
Matias Mareco|EIRON RMX,La Gerencia,Matias Mareco|EIRON RMX,La Gerencia,QM6P42688088,820233335133.0,2026-05-07 00:00:00,orchard,,,
Sossa|Fede Tarifeño,Tú me piensas RKT,Sossa|Fede Tarifeño,Tú me piensas RKT,QM6P42693902,820233338271.0,2025-04-24 00:00:00,orchard,,,
Sossa|Fede Tarifeño,Forni VIP,Sossa|Fede Tarifeño,Forni VIP,QM6P42693810,820233335638.0,2025-04-24 00:00:00,orchard,,,
Sossa|Fede Tarifeño,Cuatro K RKT,Sossa|Fede Tarifeño,Cuatro K RKT,QM6P42693790,820233334655.0,2025-04-24 00:00:00,orchard,,,
Sossa|Fede Tarifeño,Sábanas mojadas RKT,Sossa|Fede Tarifeño,Sábanas mojadas RKT,QM6P42693686,820233334525.0,2025-04-24 00:00:00,orchard,,,
Sossa|Fede Tarifeño,Scandic RKT,Sossa|Fede Tarifeño,Scandic RKT,QM6P42693668,820233334532.0,2025-04-24 00:00:00,orchard,,,
Matias Mareco,BIEN POLNO OLD,Matias Mareco,BIEN POLNO OLD,QM7282615430,820233398732.0,2025-05-13 00:00:00,orchard,,,
Tibbass,TU PIEL RKSXX,Tibbass,TU PIEL RKSXX,QM7282623610,820233508056.0,2026-05-15 00:00:00,orchard,,,
Juanma Girat,EL BOOTY,Juanma Girat,EL BOOTY,QM7282632623,820233535571.0,2026-05-20 00:00:00,orchard,,,
G-nabrÿ,Si no le contesto,G-nabrÿ,Si no le contesto,QM7282634962,820233424264.0,2026-05-20 00:00:00,orchard,,,
G-nabrÿ,La Fórmuila,G-nabrÿ,La Fórmuila,QM7282634950,820233534741.0,2026-05-20 00:00:00,orchard,,,
Tibbass,VEN CONMIGO RKT,Tibbass,VEN CONMIGO RKT,QM7282667568,820233636070.0,2026-05-02 00:00:00,orchard,,,
Sergio Ponce,SI ESTÁS HERIDAX,Sergio Ponce,SI ESTÁS HERIDAX,QM7282681345,820233565929.0,2026-06-03 00:00:00,orchard,,,
G-nabrÿ,Noche de sexo,G-nabrÿ,Noche de sexo,QMBZ92608479,820233709408.0,2026-06-10 00:00:00,orchard,,,
Juanma Girat,TODAS LAS BABYS,Juanma Girat,TODAS LAS BABYS,QMBZ92608916,820233652933.0,2026-06-11 00:00:00,orchard,,,
Tibbass|DJ JERE CIAN|COSTA DJ,LAKESISHI RKT,Tibbass|DJ JERE CIAN|COSTA DJ,LAKESISHI RKT,QMBZ92613309,820233710374.0,2026-06-05 00:00:00,orchard,,,
Sergio Ponce,AFLOJALO,Sergio Ponce,AFLOJALO,QMBZ92640707,820233844550.0,2026-06-17 00:00:00,orchard,,,
LAALODJ|Fede Tarifeño,LA CALLE ME LLAMA RKT,LAALODJ|Fede Tarifeño,LA CALLE ME LLAMA RKT,QMBZ92656367,820233827928.0,2026-06-23 00:00:00,orchard,,,
Sergio Ponce,AL RITMO DE TAKA TAKA,Sergio Ponce,AL RITMO DE TAKA TAKA,QMBZ92656803,820233866682.0,2026-06-23 00:00:00,orchard,,,
Dura DJ|Gutti Ezequiel,Trumpet Club,Dura DJ|Gutti Ezequiel,Trumpet Club,QMBZ92665832,820233876650.0,2026-07-02 00:00:00,orchard,,,
Tibbass|BRIIAN DJ,MEGA RD RKT,Tibbass|BRIIAN DJ,MEGA RD RKT,QMBZ92665824,820233876643.0,2026-06-27 00:00:00,orchard,,,
G-nabrÿ,Pump it x La despedida,G-nabrÿ,Pump it x La despedida,QMBZ92665799,820233938259.0,2026-06-30 00:00:00,orchard,,,
Joaquín Arce,INTRO MEGA FUNK 67,Joaquín Arce,INTRO MEGA FUNK 67,QMBZ92676026,820233922883.0,2026-07-03 00:00:00,orchard,,,
Joaquin Arce|Fede Tarifeño,444 X CAILE FUNK,Joaquin Arce|Fede Tarifeño,444 X CAILE FUNK,QMBZ92676047,820233901512.0,2026-07-03 00:00:00,orchard,,,
Joaquín Arce,Joaquin Arce Pal Caserio,Joaquín Arce,Joaquin Arce Pal Caserio,QMBZ92676043,820233901796.0,2026-07-03 00:00:00,orchard,,,
Juanma Girat,Si Ella Quisiera,Juanma Girat,Si Ella Quisiera,QMBZ92688455,820233981644.0,2026-07-09 00:00:00,orchard,,,
FACUU DJ|Gusty Dj|Ventu,DONDE TE PILLEMOS TARARA TARARA 2.0,FACUU DJ|Gusty Dj|Ventu,DONDE TE PILLEMOS TARARA TARARA 2.0,QMBZ92688855,885288012798.0,2026-07-09 00:00:00,orchard,,,
Dura DJ|Maate DJ,Intro Explota tu Joda,Dura DJ|Maate DJ,Intro Explota tu Joda,QMBZ92691528,820233959315.0,2026-07-16 00:00:00,orchard,,,
Tibbass|Emi Gavirondo|Mateo Giuricich,BAILALO RKSXX,Tibbass|Emi Gavirondo|Mateo Giuricich,BAILALO RKSXX,QMDA62637271,885288101980.0,2026-07-30 00:00:00,orchard,,,
Eze Greco|Tomi Rmx|Fede Tarifeño|ELAM MIX,Murda RKT,Eze Greco|Tomi Rmx|Fede Tarifeño|ELAM MIX,Murda RKT,QMDA62637322,885288133219.0,2026-07-24 00:00:00,orchard,,,
Sossa|Fede Tarifeño|Ventu|ZALO DJ,TA KBRON RKT,Sossa|Fede Tarifeño|Ventu|ZALO DJ,TA KBRON RKT,QMDA62637314,885288115758.0,2026-07-24 00:00:00,orchard,,,
EIRON RMX,PA LA GATA,EIRON RMX,PA LA GATA,QMDA62641345,885288107463.0,2026-07-31 00:00:00,orchard,,,
EIRON RMX,YO LE PREGUNTE,EIRON RMX,YO LE PREGUNTE,QMDA62641357,885288179057.0,2026-07-31 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 5",FACUUDJ|ELAM MIX,Guadalupe,QMDA62665760,885288180794.0,2026-08-01 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 6",FACUUDJ|ELAM MIX|Tomi Rmx,Shokka,QMDA62665761,885288180794.0,2026-08-01 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 7",FACUUDJ|More Savan,Forevel tu Gantel,QMDA62665762,885288180794.0,2026-08-01 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 8",FACUUDJ,De Lejitos Rkt,QMDA62665763,885288180794.0,2026-08-01 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 9",FACUUDJ|lebrondfloyd,Desde la disco paso al vip,QMDA62665764,885288180794.0,2026-08-01 00:00:00,orchard,,,
FACUU DJ,"RKT, VOL. 10",FACUUDJ|Papu DJ,Mega Br,QMDA62665765,885288180794.0,2026-08-01 00:00:00,orchard,,,
JOEL RMX,BAILANDO CUMBIA RKT,JOEL RMX,BAILANDO CUMBIA RKT,QMDA62682059,885288197174.0,2026-08-07 00:00:00,orchard,,,
JOEL RMX,PERREO MAYOR QUE YO,JOEL RMX,PERREO MAYOR QUE YO,QMDA62682064,885288233810.0,2026-08-07 00:00:00,orchard,,,
Sergio Ponce,TRANQUILO,Sergio Ponce,TRANQUILO,QMDA72602982,885288322293.0,2026-08-08 00:00:00,orchard,,,
EIRON RMX|FACU PIAZZA,SABADO DIRTY,EIRON RMX|FACU PIAZZA,SABADO DIRTY,QMDA72603410,885288302912.0,2026-08-15 00:00:00,orchard,,,
DJ Adri Fuentes,Dos Palgas,DJ Adri Fuentes,Dos Palgas,QMDA72616044,885288322736.0,2026-08-13 00:00:00,orchard,,,
Tibbass,EL RKSXX ESTÁ CONTROLANDO EL MUNDO,Tibbass,EL CREADOR RKSXX,QMDA72616236,885288310672.0,2026-08-15 00:00:00,orchard,,,
Tibbass,EL RKSXX ESTÁ CONTROLANDO EL MUNDO,Tibbass,PANAMERA RKSXX,QMDA72616237,885288310672.0,2026-08-15 00:00:00,orchard,,,
Tibbass,EL RKSXX ESTÁ CONTROLANDO EL MUNDO,Tibbass,X TI RKT,QMDA72616238,885288310672.0,2026-08-15 00:00:00,orchard,,,
Tibbass,EL RKSXX ESTÁ CONTROLANDO EL MUNDO,Tibbass,BAD RKSXX,QMDA72616239,885288310672.0,2026-08-15 00:00:00,orchard,,,
Joaquín Arce,ELE CHEGO,Joaquín Arce,ELE CHEGO,QMDA72624714,885288319620.0,2026-08-20 00:00:00,orchard,,,
JOEL RMX,A LO OSCURO RKT,JOEL RMX,A LO OSCURO RKT,QMDA72635007,885288367614.0,2026-08-27 00:00:00,orchard,,,
EIRON RMX|UZI RMX,HASTA EL AMANECER RKT,EIRON RMX|UZI RMX,HASTA EL AMANECER RKT,QMDA72645825,885288395884.0,2026-08-28 00:00:00,orchard,,,
JOEL RMX,MEGA FRANCO EL GORILA RKT,JOEL RMX,MEGA FRANCO EL GORILA RKT,QMDA72665170,885288473773.0,2026-09-04 00:00:00,orchard,,,
Matias Mareco|UZI RMX,EGOISTA RKT,Matias Mareco|UZI RMX,EGOISTA RKT,QMDA72666263,885288454062.0,2026-09-04 00:00:00,orchard,,,
DJ Lazerk Rmx,Qué Le Pasa a mi Ex,DJ Lazerk Rmx,Qué Le Pasa a mi Ex,QM4TX2667570,820200416285.0,2026-02-20 00:00:00,orchard,,,
