album_artist,album,track_artist,track,isrc,upc,release_date,provider,sello,,
Pola DJ,Bipolar Guaratech,Pola DJ,Bipolar Guaratech,QM6P42537858,199350474873.0,2025-04-23 00:00:00,orchard,,,
Pola DJ,B.U.H.O Guaracha,Pola DJ,B.U.H.O Guaracha,QM6P42534818,199350479700.0,2025-04-22 00:00:00,orchard,,,
Tibbass,FOKE RKT,Tibbass,FOKE RKT,QM6P42503131,199350380372.0,2025-04-14 00:00:00,orchard,x,,
Bianca Lif|Vale,Abusal,Bianca Lif|Vale,Abusal,AR5UH2402185,8721215030614.0,2025-03-20 00:00:00,mojo,x,,
Virrshi DJ|Tibbass,La Paso Cabron RKT,Virrshi DJ|Tibbass,La Paso Cabron RKT,ARHXW2500258,8447053331125.0,2025-02-28 00:00:00,orchard,x,,
Virrshi DJ,Mix Rkt #2,Virrshi DJ,Mix Rkt #2,,8447053331989.0,2025-02-28 00:00:00,orchard,x,,
Tibbass,Cobro RKT,Tibbass,Cobro RKT,ARHXW2500257,199093883024.0,2024-12-21 00:00:00,orchard,x,,
Virrshi DJ,Parte y Choke RKT,Virrshi DJ,Parte y Choke RKT,QZW9M2467411,734691897044.0,2024-12-20 00:00:00,onerpm,x,,
FACUU DJ|Tibbass,Es Con las Bred RKT,FACUU DJ|Tibbass,Es Con las Bred RKT,US7VG2579599,790092512474.0,2024-01-24 00:00:00,onerpm,x,,
Dormun,Si Te Dejas Llevar,Dormun,Si Te Dejas Llevar,QZW9M2446956,734691767378.0,2024-12-20 00:00:00,onerpm,x,,
Virrshi DJ,Mix Rkt #1,Virrshi DJ,Mix Rkt #1,QZW9K2488757,734284662011.0,2024-11-05 00:00:00,onerpm,x,,
Alan Gomez|Lucas Rmx|Matias Mareco,Raka Taka Taka (fb),Alan Gomez|Lucas Rmx|Matias Mareco,Raka Taka Taka (fb),ARHXW2002581,655857944481.0,2021-04-27 00:00:00,fuga,x,,
Alan Gomez|Lucas Rmx|Matias Mareco,Raka Taka Taka,Alan Gomez|Lucas Rmx|Matias Mareco,Raka Taka Taka,ARHXW2002581,655857944481.0,2021-04-27 00:00:00,onerpm,x,,
Bianca Lif,Lado a Lado #4 (Live Set),Bianca Lif,Lado a Lado #4 (Live Set),ARDL12400100,8721253116042.0,2024-10-14 00:00:00,mojo,x,,
Bianca Lif,Lado a Lado #3 (Live Set),Bianca Lif,Lado a Lado #3 (Live Set),ARDL12400076,8721093870920.0,2024-09-06 00:00:00,mojo,x,,
Bianca Lif,Este Este Este,Bianca Lif,Este Este Este,ARDL12400071,8721093663355.0,2024-08-15 00:00:00,mojo,x,,
Bianca Lif,Lado a Lado #2 (Live Set),Bianca Lif,Lado A Lado #1 (Live Set),ARDL12400049,8721093538073.0,2024-08-09 00:00:00,mojo,x,,
Bianca Lif,Lado a Lado #1 (Live Set),Bianca Lif,Lado a Lado #2 (Live Set),ARDL12400051,8721093537519.0,2024-08-08 00:00:00,mojo,x,,
Bianca Lif,Es La Que Va,Bianca Lif,Es La Que Va,ARDL12400038,8721093393719.0,2024-06-27 00:00:00,mojo,x,,
Bianca Lif,Cierre,Bianca Lif,Cierre,ARDL12400034,8721093344513.0,2024-06-14 00:00:00,mojo,x,,
Bianca Lif,Gafita Y Chomba,Bianca Lif,Gafita Y Chomba,ARDL12400029,8721093291138.0,2024-06-06 00:00:00,mojo,x,,
Dormun,Tu Gatita,Dormun,Tu Gatita,QZW9K2460160,734284457792.0,2024-10-30 00:00:00,onerpm,x,,
FACUU DJ,LOS DUEÑOS DEL NUEVO PERREO,FACUU DJ|Gusty Dj,PERREO DE CHOQUE,ARDL12400085,8721253044475.0,2024-09-18 00:00:00,fuga,x,,
FACUU DJ,LOS DUEÑOS DEL NUEVO PERREO,FACUU DJ|LAALODJ,ME PIDE CANDY,ARDL12400086,8721253044475.0,2024-09-18 00:00:00,fuga,x,,
FACUU DJ,LOS DUEÑOS DEL NUEVO PERREO,FACUU DJ|Matt Sebastian|DJ Adri Fuentes,PA TI ESTOY,ARDL12400087,8721253044475.0,2024-09-18 00:00:00,fuga,x,,
FACUU DJ,LOS DUEÑOS DEL NUEVO PERREO,FACUU DJ|NAHU IN THE  MIX,DALE PERREA,ARDL12400088,8721253044475.0,2024-09-18 00:00:00,fuga,x,,
FACUU DJ,ME PIDE CANDY RKT,FACUU DJ,ME PIDE CANDY RKT,ARDL12400080,8721093910459.0,2024-09-12 00:00:00,fuga,x,,
