isrc,artista,vid
ARS8H2500001,LIT killah,FIAMORE
ARS8H2500002,LIT killah|Neutro Shorty,Dresscode
ARS8H2500003,LIT killah|Nanpa Básico,No se me Olvida
ARS8H2500004,Gusty dj|Ezequiel Matthysse,Diabla + Session en el barrio #15
ARS8H2500005,Candu Dominguez,Tu Último Baile
ARS8H2500006,Nicole Fernandez,Amor de Adolescentes
ARS8H2500007,Emiliano Nahuel,Somos de Barrio
ARS8H2500008,FACUU DJ,MAMI TE JURO (PERREO TH)
ARS8H2500009,Aneley,Por Ese Hombre
ARS8H2500010,LIT killah|Gera MX,La Despedida
ARS8H2500011,Candu Dominguez,Por Qué Tú
ARS8H2500012,LAALODJ|Los Anormales,Todo Ke Ver
ARS8H2500013,Emiliano Nahuel,"Emiliano Nahuel, HDR, LCA FLK, kid wazi - Plan B (Video Oficial)"
ARS8H2500014,Aneley,Como Duele Perderte
ARS8H2500015,TOTI|FACUU DJ,Session Funk
ARS8H2500016,Cande Gonzalez,Amor Gitano
ARS8H2500017,Aneley,Amigos No
ARS8H2500018,LIT killah,Parking
ARS8H2500019,Tatum 73,La Oportunidad
ARS8H2500020,LIT killah,Parking
ARS8H2500021,LIT killah,Nada Fácil
ARS8H2500022,LIT killah,OKEY
ARS8H2500023,LIT killah,Label
ARS8H2500024,LIT killah,Más de uno
ARS8H2500025,LIT killah,Época de cambio
ARS8H2500026,Nicole Fernandez,Estadio Set
ARS8H2500027,Candu Dominguez,Qué Ironía
ARS8H2500028,Nicole Fernandez,Procuro Olvidarte
ARS8H2500029,,
