isrc,artista,vid
ARS8H2600001,FACUU DJ,LLEGÓ EL VERANO
ARS8H2600002,Aneley,FAZER AMOR
ARS8H2600003,LAALODJ,KANDELA RKT
ARS8H2600004,mamiyosoyelth,PERREO TH 8
ARS8H2600005,FACUU DJ,SET LIVE 4
ARS8H2600006,Gusty dj,Dos Corazones
ARS8H2600007,DJ Plaga,Capaz No Vuelvo Remix
ARS8H2600008,Nicole Fernandez,No es Cierto
ARS8H2600009,Aneley,Cosas del Amor
ARS8H2600010,mamiyosoyelth,PERREO TO TOMA
ARS8H2600011,Aneley,Nunca Voy a Olvidarte / Me Muero / Tú 
ARS8H2600012,LAALODJ,GAME RKT VOL. 1
ARS8H2600013,TOTI,Filho Do Funk
ARS8H2600014,FACUU DJ,Oro y Platino
ARS8H2600015,LAALODJ,PROBLEMON REMIX
ARS8H2600016,Simo Viani,Mix de Reggaeton
ARS8H2600017,Franco Arroyo,Tattoo
ARS8H2600018,FACUU DJ,LLEGO LA 26
ARS8H2600019,mamiyosoyelth,PERREO TICKET
ARS8H2600020,aneley,esta cumbia
ARS8H2600021,LIT  killah,Si Te Vas 2.0
ARS8H2600022,Simo Viani,Simo Viani 𝐷𝐽 - SetLive PromiseFest en Moscu Bs As
ARS8H2600023,SoyTiara,Berretines al 0800
ARS8H2600024,Aneley,Imaginando La Gloria
ARS8H2600025,G Sony,Fui Nada
ARS8H2600026,LAALODJ,LA CALLE ME LLAMA RKT
ARS8H2600027,GUSTY DJ,ALERTA
ARS8H2600028,Nicole Fernandez,HEY DJ
ARS8H2600029,Franco Arroyo,Ya No Vives En Mí
ARS8H2600030,mamiyosoyelth,PERREO TE CHOKO
ARS8H2600031,Cande Gonzalez,Prime
ARS8H2600032,DJ Plaga,La Danza Argentina
ARS8H2600033,FACUU DJ,Set Live RKT #5 - FACUU DJ
ARS8H2600034,Cande Gonzalez,Sé Qué Quieres De Mí
ARS8H2600035,LIT killah,G.Catán
ARS8H2600036,G Sony,Voy Vagando
ARS8H2600037,aneley,Me Extrañarás
ARS8H2600038,DJ Plaga,HOY SALIO EL SOL
ARS8H2600039,G Sony,Cielo
ARS8H2600040,Gusty dj,Session en el barrio #16
ARS8H2600041,Aneley,Aún sigo vivo
ARS8H2600042,Cande Gonzalez,Vamos a Desconocernos
