album_artist,album,track_artist,track,isrc,upc,release_date,provider,baja
Los Totora,Encontrándonos,Los Totora,Mujeres,ES71G1921177,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,No Sé Mañana,ES71G1921176,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Ámame,ES71G1921175,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Dejame Llorar,ES71G1921174,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Mi Soledad y Yo,ES71G1921173,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Solo Quiero,ES71G1921172,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Como Yo Nadie Te Ha Amado,ES71G1921171,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Tus Alas,ES71G1921170,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Mientes Tan Bien,ES71G1921169,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Un Día Sin Ti,ES71G1921168,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,Otra Oportunidad,ES71G1921167,8429006412365.0,20110531.0,altafonte,x
Los Totora,Encontrándonos,Los Totora,"Fuego de Noche, Nieve de Día / Vuelve",ES71G1921180,8429006412365.0,20100531.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,Padre Mio,ARBF32000025,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,Tu Amor y Mi Amor Crecerá,ARBF32000024,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,Tu Iglesia Esta Clamando,ARBF32000023,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,"Mi Amigo, Mi Hermano",ARBF32000022,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,Como León Rugiente,ARBF32000021,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,Yo Te Amo,ARBF32000020,695845130496.0,20210621.0,fuga,
Mirta Diaz,Padre Mío,Mirta Diaz,Tu Amor y Mi Amor Crecerá,ARBF32000024,8445162206037.0,20200925.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,Tu Iglesia Esta Clamando,ARBF32000023,8445162206037.0,20200925.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,"Mi Amigo, Mi Hermano",ARBF32000022,8445162206037.0,20200925.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,Como León Rugiente,ARBF32000021,8445162206037.0,20200925.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,Yo Te Amo,ARBF32000020,8445162206037.0,20200925.0,altafonte,x
Mirta Diaz,Padre Mío,Mirta Diaz,Padre Mio,ARBF32000025,8445162206037.0,20200918.0,altafonte,x
Soy Lulu,Puedes Soñar,Soy Lulu,Puedes Soñar,ARBF32000016,695845172403.0,20210629.0,fuga,
Soy Lulu,Puedes Soñar,Soy Lulu,Puedes Soñar,ARBF32000016,8445162204149.0,20200917.0,altafonte,x
